"BASEPIC","TL","TT","TR","ML","MM","MR","BL","BB","BR","Field10"
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"#MEN 2 1 35 H 000000","","","","","","","","","",""
"#SHIP 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"DT=+ 2 19 35 H 000000","","","","","","","","","",""
"DR 2 25 35 H 000000","","","","","","","","","",""
"HP 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"TL 23 37 35 H 000000","","","","","","","","","",""
"J 23 43 35 H 000000","","","","","","","","","",""
"G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"CREW 45 19 35 H 000000","","","","","","","","","",""
"PASS 45 25 35 H 000000","","","","","","","","","",""
"CARGO 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"Ship.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#","Nodular Cutter Ships","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"LM-REMORA 2 1 35 H 000000","","","","","","","","","",""
"MODULAR-LIGHTER 2 7 35 H 000000","","","","","","","","","",""
"# 2 13 35 H 000000","","","","","","","","","",""
"800DT=+10 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP90000 2 31 35 H 000000 ","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"#J0 23 43 35 H 000000","","","","","","","","","",""
"0.5G 23 49 35 H 000000","","","","","","","","","",""
"C5 45 19 35 H 000000","","","","","","","","","",""
"P2 45 25 35 H 000000","","","","","","","","","",""
"C0 4FF5 31 35 H 000000","","","","","","","","","",""
"LM-Remora-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"CJ-NAAKIL-10.BMP C C D0D0D0","","","","","","","","","",""
"CJ-NAAKIL 2 1 35 H 000000","","","","","","","","","",""
"JUMP-CUTTER 2 7 35 H 000000","","","","","","","","","",""
"# 2 13 35 H 000000","","","","","","","","","",""
"100DT=+8 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP15000 2 31 35 H 000000 ","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"3.5G 23 49 35 H 000000","","","","","","","","","",""
"C2 45 19 35 H 000000","","","","","","","","","",""
"P2 45 25 35 H 000000","","","","","","","","","",""
"C0.5 4FF5 31 35 H 000000","","","","","","","","","",""
"CJ-Naakil-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSLJ1- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"190DT=+8 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP30000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"3.3GMT 23 49 35 H 000000","","","","","","","","","",""
"C5 45 19 35 H 000000","","","","","","","","","",""
"P5 45 25 35 H 000000","","","","","","","","","",""
"C5.5 45 31 35 H 000000","","","","","","","","","",""
"MSLJ1-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSLJ2- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"190DT=+8 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP30000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"3.1GMT 23 49 35 H 000000","","","","","","","","","",""
"C5 45 19 35 H 000000","","","","","","","","","",""
"P5 45 25 35 H 000000","","","","","","","","","",""
"C5.5 45 31 35 H 000000","","","","","","","","","",""
"MSLJ2-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSMJ1- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"500DT=+9 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP90000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"3.3GMT 23 49 35 H 000000","","","","","","","","","",""
"C7 45 19 35 H 000000","","","","","","","","","",""
"P5 45 25 35 H 000000","","","","","","","","","",""
"C17.5 45 31 35 H 000000","","","","","","","","","",""
"MSMJ1-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSMJ2- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"500DT=+9 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP90000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"3.3GMT 23 49 35 H 000000","","","","","","","","","",""
"C7 45 19 35 H 000000","","","","","","","","","",""
"P5 45 25 35 H 000000","","","","","","","","","",""
"C6.5 45 31 35 H 000000","","","","","","","","","",""
"MSMJ2-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSHJ1- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"1000DT=+10 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP60000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"4.5GMT 23 49 35 H 000000","","","","","","","","","",""
"C8 45 19 35 H 000000","","","","","","","","","",""
"P24 45 25 35 H 000000","","","","","","","","","",""
"C17.5 45 31 35 H 000000","","","","","","","","","",""
"MSHJ1-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"MSHJ2- 2 1 35 H 000000","","","","","","","","","",""
"LSP-MODULAR- 2 7 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 13 35 H 000000","","","","","","","","","",""
"1000DT=+10 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP60000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"4.3GMT 23 49 35 H 000000","","","","","","","","","",""
"C9 45 19 35 H 000000","","","","","","","","","",""
"P23 45 25 35 H 000000","","","","","","","","","",""
"C30 45 31 35 H 000000","","","","","","","","","",""
"MSHJ2-ModularJumpShip-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"TJ-KODRIIK 2 1 35 H 000000","","","","","","","","","",""
"JUMP-SHIP 2 7 35 H 000000","","","","","","","","","",""
"# 2 13 35 H 000000","","","","","","","","","",""
"5000DT=+11 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP165000 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"4.3GMT 23 49 35 H 000000","","","","","","","","","",""
"C32 45 19 35 H 000000","","","","","","","","","",""
"P9 45 25 35 H 000000","","","","","","","","","",""
"C300 45 31 35 H 000000","","","","","","","","","",""
"TJ-Kodriik-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"M-AKKIGISH-10.BMP C C D0D0D0","","","","","","","","","",""
"M-AKKIGISH 2 1 35 H 000000","","","","","","","","","",""
"SUBSIDIZED-MERCHANT 2 7 35 H 000000","","","","","","","","","",""
"FAT-TRADER 2 13 35 H 000000","","","","","","","","","",""
"400DT=+9 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP37500 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"1.1G 23 49 35 H 000000","","","","","","","","","",""
"C10 45 19 35 H 000000","","","","","","","","","",""
"P11 45 25 35 H 000000","","","","","","","","","",""
"C165+12 45 31 35 H 000000","","","","","","","","","",""
"M-Akkigish-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"M-BEOWULF-10.BMP C C D0D0D0","","","","","","","","","",""
"M-BEOWULF 2 1 35 H 000000","","","","","","","","","",""
"#27 2 7","35 H 000000","","","","","","","","",""
"#213 2 13 35 H 000000","","","","","","","","","",""
"200DT=+8 2 19 35 H 000000","","","","","","","","","",""
"DR100 2 25 35 H 000000","","","","","","","","","",""
"HP22500 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J1 23 43 35 H 000000","","","","","","","","","",""
"G1.1 23 49 35 H 000000","","","","","","","","","",""
"C6 45 19 35 H 000000","","","","","","","","","",""
"P24 45 25 35 H 000000","","","","","","","","","",""
"C68 45 31 35 H 000000","","","","","","","","","",""
"M-Beowulf-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
